,읍면동명,연령대,업종명,1인당 이용금액
0,강정동,청소년,숙박업,1112808.3909574468
1,건입동,청소년,숙박업,1096266.8645418326
2,구좌읍,청소년,숙박업,3669363.7517630467
3,남원읍,청소년,숙박업,704608.9520766773
4,내도동,청소년,숙박업,70167.5925925926
5,노형동,청소년,숙박업,6416138.065469905
6,대정읍,청소년,숙박업,1157965.419506463
7,대포동,청소년,숙박업,993494.1891891892
8,도남동,청소년,숙박업,1232166.418367347
9,도두이동,청소년,숙박업,416331.35576923075
10,도두일동,청소년,숙박업,714320.5133928572
11,도련이동,청소년,숙박업,146629.14572864323
12,도련일동,청소년,숙박업,553618.5874587459
13,도순동,청소년,숙박업,76523.80952380953
14,도평동,청소년,숙박업,93952.0
15,동홍동,청소년,숙박업,1117562.6073369565
16,법환동,청소년,숙박업,794240.3686635945
17,보목동,청소년,숙박업,179089.74820143884
18,봉개동,청소년,숙박업,167788.61878453038
19,삼도이동,청소년,숙박업,1582262.893030794
20,삼도일동,청소년,숙박업,626269.4804804805
21,삼양삼동,청소년,숙박업,156955.9829059829
22,삼양이동,청소년,숙박업,468447.13774597493
23,삼양일동,청소년,숙박업,205360.50955414012
24,상예동,청소년,숙박업,728042.392694064
25,상효동,청소년,숙박업,186640.65934065933
26,색달동,청소년,숙박업,2074682.3978494625
27,서귀동,청소년,숙박업,3438900.24037461
28,서호동,청소년,숙박업,570805.8699186991
29,서홍동,청소년,숙박업,455732.12045169383
30,성산읍,청소년,숙박업,3396834.190804598
31,신효동,청소년,숙박업,217971.22905027933
32,아라이동,청소년,숙박업,1621631.997389034
33,아라일동,청소년,숙박업,2108611.8172458173
34,안덕면,청소년,숙박업,2612912.538354254
35,애월읍,청소년,숙박업,4813064.434832756
36,연동,청소년,숙박업,7419830.053669223
37,영평동,청소년,숙박업,196979.47955390334
38,오등동,청소년,숙박업,135422.33502538071
39,오라삼동,청소년,숙박업,876105.1111111111
40,오라이동,청소년,숙박업,541255.0744985674
41,오라일동,청소년,숙박업,602599.7343358396
42,외도이동,청소년,숙박업,248341.94630872484
43,외도일동,청소년,숙박업,880236.2025862068
44,용담삼동,청소년,숙박업,1084807.4342379959
45,용담이동,청소년,숙박업,2394363.32155477
46,용담일동,청소년,숙박업,999143.247464503
47,우도면,청소년,숙박업,1261052.7349593495
48,월평동,청소년,숙박업,89511.57024793388
49,이도이동,청소년,숙박업,8569687.96165803
50,이도일동,청소년,숙박업,809780.5891364902
51,이호이동,청소년,숙박업,293886.87074829935
