,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액,창업비용,매출ratio
15,송산동,299191,15179397255,소매업,13,1167645942.6923077,92000000,12.691803724916388
32,정방동,232622,11353592020,소매업,10,1135359202.0,92000000,12.340860891304349
36,천지동,245863,11690912025,소매업,11,1062810184.0909092,92000000,11.552284609683797
35,중앙동,232622,11353592020,소매업,53,214218717.35849056,92000000,2.328464319114028
23,외도동,55540,2855606785,소매업,16,178475424.0625,92000000,1.939950261548913
28,이도2동,205421,8478059764,소매업,62,136742899.41935483,92000000,1.4863358632538568
3,노형동,232595,8715171311,소매업,68,128164283.98529412,92000000,1.3930900433184144
0,건입동,38514,3294390279,소매업,26,126707318.42307691,92000000,1.3772534611204013
10,삼도1동,29669,2312428647,소매업,19,121706770.89473684,92000000,1.322899683638444
12,삼양동,57604,3351398768,소매업,28,119692813.14285716,92000000,1.301008838509317
25,용담2동,176974,6464911227,소매업,57,113419495.21052632,92000000,1.2328206001144164
24,용담1동,33964,2743285455,소매업,27,101603165.0,92000000,1.1043822282608695
41,화북동,64198,2734898028,소매업,28,97674929.57142857,92000000,1.0616840170807453
7,도두동,17380,1682919418,소매업,18,93495523.22222222,92000000,1.0162556871980677
30,일도1동,147731,8622323322,소매업,96,89815867.9375,92000000,0.9762594341032609
8,동홍동,45669,2706782230,소매업,34,79611242.05882353,92000000,0.8653395875959079
29,이호동,6838,700193064,소매업,10,70019306.4,92000000,0.7610794173913044
22,오라동,27299,1915791994,소매업,28,68421142.64285715,92000000,0.743708072204969
33,조천읍,99647,3542740104,소매업,52,68129617.38461539,92000000,0.7405393193979933
16,아라동,102800,2958542645,소매업,45,65745392.11111111,92000000,0.714623827294686
31,일도2동,122317,4311674160,소매업,66,65328396.36363637,92000000,0.7100912648221345
4,대륜동,39400,1641849178,소매업,30,54728305.93333333,92000000,0.5948728905797102
9,봉개동,8709,763546770,소매업,14,54539055.0,92000000,0.5928158152173914
19,연동,145821,4191700473,소매업,83,50502415.3373494,92000000,0.5489392971451021
21,예래동,15188,746039052,소매업,15,49735936.8,92000000,0.5406080086956522
14,성산읍,73542,3426939242,소매업,72,47596378.36111111,92000000,0.5173519387077294
11,삼도2동,17233,856505569,소매업,19,45079240.47368421,92000000,0.48999174427917613
40,한림읍,68120,4015157711,소매업,90,44612863.45555556,92000000,0.4849224288647343
37,추자면,2098,210717880,소매업,5,42143576.0,92000000,0.458082347826087
5,대정읍,92956,2979355940,소매업,71,41962759.71830986,92000000,0.45611695345988973
27,이도1동,140393,7504544699,소매업,182,41233762.08241759,92000000,0.4481930661132347
26,우도면,11146,237126650,소매업,6,39521108.333333336,92000000,0.42957726449275363
38,표선면,56470,3154223587,소매업,86,36677018.45348837,92000000,0.3986632440596562
34,중문동,29682,1381880724,소매업,42,32901922.0,92000000,0.35762958695652175
18,애월읍,87769,3512815249,소매업,108,32526067.12037037,92000000,0.3535442078301127
6,대천동,33780,931831070,소매업,29,32132105.86206897,92000000,0.3492620202398801
42,효돈동,14719,955135152,소매업,30,31837838.4,92000000,0.3460634608695652
20,영천동,21434,1168084125,소매업,38,30739055.92105263,92000000,0.3341201730549199
17,안덕면,22399,1100608807,소매업,45,24457973.48888889,92000000,0.2658475379227053
2,남원읍,39206,2322617642,소매업,108,21505718.907407407,92000000,0.23375781421095007
1,구좌읍,19640,1267864840,소매업,65,19505612.923076924,92000000,0.21201753177257526
13,서홍동,13241,337320005,소매업,18,18740000.277777776,92000000,0.2036956551932367
39,한경면,13786,692321873,소매업,65,10651105.73846154,92000000,0.11577288846153846
