,Unnamed: 0,읍면동명,점수,등수,행정동코드,시군구명,행정동
0,15,송산동,1,1.0,5013051000,서귀포시,서귀포시 송산동
1,32,정방동,3,2.0,5013052000,서귀포시,서귀포시 정방동
2,36,천지동,5,3.0,5013054000,서귀포시,서귀포시 천지동
3,35,중앙동,9,4.0,5013053000,서귀포시,서귀포시 중앙동
4,3,노형동,15,5.0,5011066000,제주시,제주시 노형동
5,28,이도2동,16,6.0,5011054000,제주시,제주시 이도2동
6,25,용담2동,23,7.0,5011058000,제주시,제주시 용담2동
7,23,외도동,28,8.0,5011067000,제주시,제주시 외도동
8,41,화북동,37,9.0,5011060000,제주시,제주시 화북동
9,30,일도1동,37,9.0,5011051000,제주시,제주시 일도1동
10,12,삼양동,37,9.0,5011061000,제주시,제주시 삼양동
11,16,아라동,39,10.0,5011063000,제주시,제주시 아라동
12,33,조천읍,41,11.0,5011025900,제주시,제주시 조천읍
13,31,일도2동,43,12.0,5011052000,제주시,제주시 일도2동
14,19,연동,45,13.0,5011065000,제주시,제주시 연동
15,0,건입동,48,14.0,5011059000,제주시,제주시 건입동
16,10,삼도1동,51,15.0,5011055000,제주시,제주시 삼도1동
17,8,동홍동,54,16.0,5013057000,서귀포시,서귀포시 동홍동
18,24,용담1동,57,17.0,5011057000,제주시,제주시 용담1동
19,5,대정읍,62,18.0,5013025000,서귀포시,서귀포시 대정읍
20,4,대륜동,62,18.0,5013059000,서귀포시,서귀포시 대륜동
21,14,성산읍,63,19.0,5013025900,서귀포시,서귀포시 성산읍
22,27,이도1동,68,20.0,5011053000,제주시,제주시 이도1동
23,22,오라동,71,21.0,5011064000,제주시,제주시 오라동
24,7,도두동,72,22.0,5011069000,제주시,제주시 도두동
25,40,한림읍,73,23.0,5011025000,제주시,제주시 한림읍
26,18,애월읍,76,24.0,5011025300,제주시,제주시 애월읍
27,26,우도면,82,25.0,5011033000,제주시,제주시 우도면
28,21,예래동,83,26.0,5013062000,서귀포시,서귀포시 예래동
29,6,대천동,83,26.0,5013060000,서귀포시,서귀포시 대천동
30,38,표선면,85,27.0,5013032000,서귀포시,서귀포시 표선면
31,11,삼도2동,87,28.0,5011056000,제주시,제주시 삼도2동
32,29,이호동,90,29.0,5011068000,제주시,제주시 이호동
33,34,중문동,92,30.0,5013061000,서귀포시,서귀포시 중문동
34,9,봉개동,97,31.0,5011062000,제주시,제주시 봉개동
35,2,남원읍,102,32.0,5013025300,서귀포시,서귀포시 남원읍
36,20,영천동,104,33.0,5013056000,서귀포시,서귀포시 영천동
37,17,안덕면,105,34.0,5013031000,서귀포시,서귀포시 안덕면
38,37,추자면,109,35.0,5011032000,제주시,제주시 추자면
39,13,서홍동,110,36.0,5013058000,서귀포시,서귀포시 서홍동
40,42,효돈동,110,36.0,5013055000,서귀포시,서귀포시 효돈동
41,1,구좌읍,113,37.0,5011025600,제주시,제주시 구좌읍
42,39,한경면,121,38.0,5011031000,제주시,제주시 한경면
