,Unnamed: 0,읍면동명,점수,등수,행정동코드,시군구명,행정동
0,21,예래동,3,1.0,5013062000,서귀포시,서귀포시 예래동
1,35,중앙동,6,2.0,5013053000,서귀포시,서귀포시 중앙동
2,19,연동,8,3.0,5011065000,제주시,제주시 연동
3,32,정방동,15,4.0,5013052000,서귀포시,서귀포시 정방동
4,15,송산동,17,5.0,5013051000,서귀포시,서귀포시 송산동
5,11,삼도2동,23,6.0,5011056000,제주시,제주시 삼도2동
6,20,영천동,24,7.0,5013056000,서귀포시,서귀포시 영천동
7,36,천지동,26,8.0,5013054000,서귀포시,서귀포시 천지동
8,34,중문동,28,9.0,5013061000,서귀포시,서귀포시 중문동
9,16,아라동,29,10.0,5011063000,제주시,제주시 아라동
10,0,건입동,29,10.0,5011059000,제주시,제주시 건입동
11,6,대천동,29,10.0,5013060000,서귀포시,서귀포시 대천동
12,4,대륜동,38,11.0,5013059000,서귀포시,서귀포시 대륜동
13,23,외도동,39,12.0,5011067000,제주시,제주시 외도동
14,18,애월읍,41,13.0,5011025300,제주시,제주시 애월읍
15,3,노형동,42,14.0,5011066000,제주시,제주시 노형동
16,14,성산읍,43,15.0,5013025900,서귀포시,서귀포시 성산읍
17,28,이도2동,47,16.0,5011054000,제주시,제주시 이도2동
18,27,이도1동,53,17.0,5011053000,제주시,제주시 이도1동
19,33,조천읍,62,18.0,5011025900,제주시,제주시 조천읍
20,10,삼도1동,62,18.0,5011055000,제주시,제주시 삼도1동
21,40,한림읍,63,19.0,5011025000,제주시,제주시 한림읍
22,13,서홍동,64,20.0,5013058000,서귀포시,서귀포시 서홍동
23,22,오라동,74,21.0,5011064000,제주시,제주시 오라동
24,25,용담2동,81,22.0,5011058000,제주시,제주시 용담2동
25,2,남원읍,81,22.0,5013025300,서귀포시,서귀포시 남원읍
26,7,도두동,81,22.0,5011069000,제주시,제주시 도두동
27,5,대정읍,82,23.0,5013025000,서귀포시,서귀포시 대정읍
28,8,동홍동,82,23.0,5013057000,서귀포시,서귀포시 동홍동
29,12,삼양동,82,23.0,5011061000,제주시,제주시 삼양동
30,38,표선면,86,24.0,5013032000,서귀포시,서귀포시 표선면
31,17,안덕면,89,25.0,5013031000,서귀포시,서귀포시 안덕면
32,30,일도1동,91,26.0,5011051000,제주시,제주시 일도1동
33,29,이호동,92,27.0,5011068000,제주시,제주시 이호동
34,1,구좌읍,96,28.0,5011025600,제주시,제주시 구좌읍
35,37,추자면,99,29.0,5011032000,제주시,제주시 추자면
36,24,용담1동,103,30.0,5011057000,제주시,제주시 용담1동
37,31,일도2동,107,31.0,5011052000,제주시,제주시 일도2동
38,9,봉개동,111,32.0,5011062000,제주시,제주시 봉개동
39,26,우도면,114,33.0,5011033000,제주시,제주시 우도면
40,39,한경면,120,34.0,5011031000,제주시,제주시 한경면
41,42,효돈동,121,35.0,5013055000,서귀포시,서귀포시 효돈동
42,41,화북동,126,36.0,5011060000,제주시,제주시 화북동
