,Unnamed: 0,읍면동명,점수,등수,행정동코드,시군구명,행정동
0,15,송산동,3,1.0,5013051000,서귀포시,서귀포시 송산동
1,36,천지동,10,2.0,5013054000,서귀포시,서귀포시 천지동
2,32,정방동,10,2.0,5013052000,서귀포시,서귀포시 정방동
3,35,중앙동,11,3.0,5013053000,서귀포시,서귀포시 중앙동
4,3,노형동,11,3.0,5011066000,제주시,제주시 노형동
5,16,아라동,17,4.0,5011063000,제주시,제주시 아라동
6,25,용담2동,20,5.0,5011058000,제주시,제주시 용담2동
7,28,이도2동,21,6.0,5011054000,제주시,제주시 이도2동
8,19,연동,26,7.0,5011065000,제주시,제주시 연동
9,22,오라동,30,8.0,5011064000,제주시,제주시 오라동
10,31,일도2동,36,9.0,5011052000,제주시,제주시 일도2동
11,12,삼양동,42,10.0,5011061000,제주시,제주시 삼양동
12,0,건입동,43,11.0,5011059000,제주시,제주시 건입동
13,21,예래동,49,12.0,5013062000,서귀포시,서귀포시 예래동
14,8,동홍동,53,13.0,5013057000,서귀포시,서귀포시 동홍동
15,18,애월읍,55,14.0,5011025300,제주시,제주시 애월읍
16,34,중문동,58,15.0,5013061000,서귀포시,서귀포시 중문동
17,23,외도동,58,15.0,5011067000,제주시,제주시 외도동
18,20,영천동,59,16.0,5013056000,서귀포시,서귀포시 영천동
19,41,화북동,60,17.0,5011060000,제주시,제주시 화북동
20,6,대천동,62,18.0,5013060000,서귀포시,서귀포시 대천동
21,33,조천읍,65,19.0,5011025900,제주시,제주시 조천읍
22,11,삼도2동,66,20.0,5011056000,제주시,제주시 삼도2동
23,13,서홍동,67,21.0,5013058000,서귀포시,서귀포시 서홍동
24,4,대륜동,71,22.0,5013059000,서귀포시,서귀포시 대륜동
25,5,대정읍,71,22.0,5013025000,서귀포시,서귀포시 대정읍
26,14,성산읍,72,23.0,5013025900,서귀포시,서귀포시 성산읍
27,7,도두동,77,24.0,5011069000,제주시,제주시 도두동
28,40,한림읍,77,24.0,5011025000,제주시,제주시 한림읍
29,17,안덕면,81,25.0,5013031000,서귀포시,서귀포시 안덕면
30,30,일도1동,84,26.0,5011051000,제주시,제주시 일도1동
31,1,구좌읍,88,27.0,5011025600,제주시,제주시 구좌읍
32,9,봉개동,93,28.0,5011062000,제주시,제주시 봉개동
33,42,효돈동,94,29.0,5013055000,서귀포시,서귀포시 효돈동
34,29,이호동,97,30.0,5011068000,제주시,제주시 이호동
35,10,삼도1동,98,31.0,5011055000,제주시,제주시 삼도1동
36,27,이도1동,102,32.0,5011053000,제주시,제주시 이도1동
37,38,표선면,102,32.0,5013032000,서귀포시,서귀포시 표선면
38,24,용담1동,106,33.0,5011057000,제주시,제주시 용담1동
39,2,남원읍,108,34.0,5013025300,서귀포시,서귀포시 남원읍
40,39,한경면,114,35.0,5011031000,제주시,제주시 한경면
41,26,우도면,117,36.0,5011033000,제주시,제주시 우도면
42,37,추자면,125,37.0,5011032000,제주시,제주시 추자면
